"Description","Asset Title","Customer","Type","RTU","RTU Channel","Product","Data Timestamp","Template"
"Battery","","","BatteryVoltage","E100D5B2","BATT_VOLTAGE","","5/6/2026 3:00:00 AM","400 Series Battery Voltage"
"Battery","Angry Crab Surprise 675Lbs Fryers Choice Tank","Angry Crab Surprise","BatteryVoltage","124697513","BATT_VOLTAGE","","5/6/2026 4:00:25 AM","UTM Battery Voltage"
"Level","Angry Crab Surprise 675Lbs Fryers Choice Tank","Angry Crab Surprise","Level","124697513","A","Fryers Choice","5/6/2026 4:00:25 AM","SC462A020 - Liquid Level Pressure Sensor, 0.2 bar with 2 meter cable"
"Battery","Augustine Casino 2500LB Canola Oil","Augustine Casino","BatteryVoltage","124677515","BATT_VOLTAGE","","5/6/2026 4:00:42 AM","UTM Battery Voltage"
"Level","Augustine Casino 2500LB Canola Oil","Augustine Casino","Level","124677515","A","Canola Oil","5/6/2026 4:00:42 AM","SC462A020 - Liquid Level Pressure Sensor, 0.2 bar with 2 meter cable"
"Battery","Back Yard Gilbert 1000LBS Fryers Choice","Back Yard Gilbert","BatteryVoltage","126037003","BATT_VOLTAGE","","5/6/2026 9:00:29 AM","UTM Battery Voltage"
"Level","Back Yard Gilbert 1000LBS Fryers Choice","Back Yard Gilbert","Level","126037003","A","Fryers Choice","5/6/2026 9:00:29 AM","SC462A020 - Liquid Level Pressure Sensor, 0.2 bar with 2 meter cable"
"Battery","Backyard desert ridge 1000LBS V Fryers Choice Tank","Backyard desert ridge","BatteryVoltage","E600219F","BATT_VOLTAGE","","5/6/2026 4:00:00 AM","400 Series Battery Voltage"
"Level","Backyard desert ridge 1000LBS V Fryers Choice Tank","Backyard desert ridge","Level","E600219F","1","Fryers Choice","5/6/2026 4:00:00 AM","ICON SS 5v SENS-3610-05 (0-197)"
"Battery","Baja Joe MESA 1150 lb canola fry ","Baja Joe MESA","BatteryVoltage","E60035A3","BATT_VOLTAGE","","5/6/2026 4:00:00 AM","400 Series Battery Voltage"
"Daily Average Usage","Baja Joe MESA 1150 lb canola fry ","Baja Joe MESA","Rate Of Change","","","","5/5/2026 11:00:00 PM","Default Rate of Change"
"Level","Baja Joe MESA 1150 lb canola fry ","Baja Joe MESA","Level","E60035A3","1","Canola Oil","5/6/2026 4:00:00 AM","ICON SS 5v SENS-3610-05 (0-197)"
"Battery","Belles Nashville Kitchen 675lbs Canola Oil","Belles Nashville Kitchen","BatteryVoltage","124674927","BATT_VOLTAGE","","5/6/2026 1:31:28 PM","UTM Battery Voltage"
"Level","Belles Nashville Kitchen 675lbs Canola Oil","Belles Nashville Kitchen","Level","124674927","A","Canola Oil","5/6/2026 1:31:28 PM","SC462A020 - Liquid Level Pressure Sensor, 0.2 bar with 2 meter cable"
"level test","Belles Nashville Kitchen 675lbs Canola Oil","Belles Nashville Kitchen","Level","124674927","A","Canola Oil","5/6/2026 1:31:28 PM","SC462A020 - Liquid Level Pressure Sensor, 0.2 bar with 2 meter cable"
"Battery","Booty's Goodyear 700LB Fryer's Choice Tank ","Booty's Goodyear","BatteryVoltage","124696967","BATT_VOLTAGE","","5/5/2026 5:01:58 PM","UTM Battery Voltage"
"Level","Booty's Goodyear 700LB Fryer's Choice Tank ","Booty's Goodyear","Level","124696967","A","Canola Oil","5/5/2026 5:02:12 PM","SC462A020 - Liquid Level Pressure Sensor, 0.2 bar with 2 meter cable"
"Battery","Booty's surprise 700Lb Fryers Choice Tank","Booty's surprise","BatteryVoltage","124922745","BATT_VOLTAGE","","5/6/2026 4:00:31 AM","UTM Battery Voltage"
"Level","Booty's surprise 700Lb Fryers Choice Tank","Booty's surprise","Level","124922745","A","Canola Oil","5/6/2026 4:00:31 AM","SC462A020 - Liquid Level Pressure Sensor, 0.2 bar with 2 meter cable"
"Battery","Booty's Watson 700lbs Canola Oil","Booty's Watson","BatteryVoltage","124735314","BATT_VOLTAGE","","5/6/2026 5:00:23 AM","UTM Battery Voltage"
"Level","Booty's Watson 700lbs Canola Oil","Booty's Watson","Level","124735314","A","Canola Oil","5/6/2026 5:00:23 AM","SC462A020 - Liquid Level Pressure Sensor, 0.2 bar with 2 meter cable"
"Battery","BURGERS & BREWS 1150LBS Canola Oil Tank","BURGERS & BREWS","BatteryVoltage","E600373F","BATT_VOLTAGE","","5/6/2026 4:00:00 AM","400 Series Battery Voltage"
"Level","BURGERS & BREWS 1150LBS Canola Oil Tank","BURGERS & BREWS","Level","E600373F","1","Canola Oil","5/6/2026 4:00:00 AM","ICON PVC 5v - SENS-3660-10 (394)"
"Battery","Cafe Valley Bakery  Soybean Oil  55,000 LB TANK","Cafe Valley Bakery ","BatteryVoltage","E10011FA","BATT_VOLTAGE","","5/6/2026 10:00:00 AM","400 Series Battery Voltage"
"Daily Average Usage","Cafe Valley Bakery  Soybean Oil  55,000 LB TANK","Cafe Valley Bakery ","Rate Of Change","","","","5/5/2026 11:00:00 PM","Default Rate of Change"
"Level","Cafe Valley Bakery  Soybean Oil  55,000 LB TANK","Cafe Valley Bakery ","Level","E10011FA","1","Soybean Oil","5/6/2026 10:00:00 AM","Default Level"
"Battery","Cardenas mkt/Ranch market 9750LBS Fryers Choice Test unit","Cardenas mkt/Ranch market","BatteryVoltage","E30021C5","BATT_VOLTAGE","","5/6/2026 4:00:00 AM","400 Series Battery Voltage"
"Level","Cardenas mkt/Ranch market 9750LBS Fryers Choice Test unit","Cardenas mkt/Ranch market","Level","E30021C5","1","Fryers Choice","5/6/2026 4:00:00 AM","ICON PVC 5v - SENS-3660-05 (197)"
"Battery","CASA DE FALAFEL 1050 lbs Canola Oil Tank ","CASA DE FALAFEL","BatteryVoltage","124921830","BATT_VOLTAGE","","5/6/2026 2:02:22 AM","UTM Battery Voltage"
"Level","CASA DE FALAFEL 1050 lbs Canola Oil Tank ","CASA DE FALAFEL","Level","124921830","A","Canola Oil","5/6/2026 2:02:22 AM","SC462A020 - Liquid Level Pressure Sensor, 0.2 bar with 2 meter cable"
"Battery","Cowboy Cookin 1000 lb tank","Cowboy Cookin","BatteryVoltage","124737455","BATT_VOLTAGE","","5/6/2026 9:00:25 AM","UTM Battery Voltage"
