id,customer,zone,tank,current,pct,dte,stockout_date,stockout_day_idx,status
8031,HAR - 8031 - HAROLDS,4,1050,262,25.0,1.5,Tue May 05,1,scheduled day 0
2023,BOO - 2023 - BOOTY GOODYEAR,1,620,155,25.0,1.7,Tue May 05,1,scheduled day 0
16008,PETG - 16008 - PETES FISH GLENDALE,2,950,238,25.0,1.9,Tue May 05,1,scheduled day 0
13013,MANP - 13013 - MANUEL PEORIA,2,1050,262,25.0,2.0,Tue May 05,1,scheduled day 0
19123,STA - 19123 - STATE 48 HAPPY VALLEY,3,350,88,25.0,2.1,Wed May 06,2,scheduled day 0
6109,FAT - 6109 - FATE BREWING TEMPE,4,700,192,27.0,2.6,Wed May 06,2,scheduled day 2
4029,DUR - 4029 - DURVILL FOODS,4,2500,625,25.0,2.7,Wed May 06,2,scheduled day 7
1081,ATL - 1081 - ATL WINGS ROOSEVELT,3,350,112,32.0,2.8,Wed May 06,2,scheduled day 0
2067,BAC - 2067 - BACKYARD - DESERT RIDGE,5,950,238,25.0,2.8,Wed May 06,2,scheduled day 2
5006,ECH - 5006 - ECHO 5 SPORTS BAR,5,450,112,25.0,2.9,Wed May 06,2,deferred (solver dropped)
4014,DIL- 4014 - DILLONS BAYOU,2,450,112,25.0,3.1,Thu May 07,3,scheduled day 0
20019,THE - 20019 - THE PLACE,2,1050,262,25.0,3.1,Thu May 07,3,scheduled day 8
20088,THE - 20088 - THE VIG BELL,4,1050,323,31.0,3.1,Thu May 07,3,scheduled day 5
16006,PET44 - 16006 - PETES FISH 44TH ST,4,950,238,25.0,3.2,Thu May 07,3,scheduled day 2
8034,HOR - 8034 - HORNY TOAD,4,900,225,25.0,3.4,Thu May 07,3,scheduled day 0
2073,BRU - 2073 - BRUNCH SNOB,4,350,129,37.0,3.5,Thu May 07,3,scheduled day 1
19035,STA - 19035 - STATE 48 GLENDALE,2,350,117,33.0,3.5,Thu May 07,3,scheduled day 0
18004,RED - 18004 - RED WHITE BREW,5,660,230,35.0,3.7,Thu May 07,3,scheduled day 1
11013,KOD - 11013 - K O'DONNELS SPORTS BAR & GRILL,4,1050,262,25.0,3.7,Thu May 07,3,scheduled day 0
4010,DIL59 - 4010 - DILLONS 59TH AVE,2,500,125,25.0,3.7,Thu May 07,3,scheduled day 1
15020,OREC - 15020 - OREGANO CAMELBACK,3,450,112,25.0,3.8,Thu May 07,3,scheduled day 0
19077,SUG - 19077- SUGAR JAM,4,1050,414,39.0,3.9,Thu May 07,3,scheduled day 2
20097,VIG - 20097 - THE VIG PARK WEST,2,1050,262,25.0,4.0,Thu May 07,3,scheduled day 5
18054,RUS - 18054 - RUSTY BUCKLE SALOON,5,1050,262,25.0,4.1,Fri May 08,4,scheduled day 1
1001,ARRC - 1001 - ARRIBAS CAMELBACK,3,700,258,37.0,4.1,Fri May 08,4,scheduled day 2
7053,GLE - 7053 - GLENROSA,4,350,144,41.0,4.2,Fri May 08,4,scheduled day 2
20090,TAI - 20090 - TAILGATERS LAKE PLEASANT,2,1050,262,25.0,4.2,Fri May 08,4,scheduled day 5
20093,TAI - 20093 - TAILGATERS DYSART,2,1050,262,25.0,4.2,Fri May 08,4,scheduled day 0
15002,ORECC - 15002 - OREGANO CAVE CREEK,4,480,120,25.0,4.5,Fri May 08,4,scheduled day 0
15018,ORES - 15018 - OREGANO SCOTTSDALE,4,660,165,25.0,4.5,Fri May 08,4,scheduled day 2
2053,BAJ - 2053 - BAJA JOES,5,1050,262,25.0,4.5,Fri May 08,4,scheduled day 4
13009,MAN6 - 13009 - MANUEL BELL,3,1050,455,43.0,4.6,Fri May 08,4,scheduled day 7
20098,TAI - 20098 - IL PRIMO BELL CAVE CREEK,4,1050,262,25.0,4.6,Fri May 08,4,scheduled day 7
15035,OHS - 15035 - OHSO GILBERT,5,1800,781,43.0,4.6,Fri May 08,4,scheduled day 8
19119,SOU - 19119 - SOUL FIRE TACOS,4,480,120,25.0,4.7,Fri May 08,4,scheduled day 0
1083,ATL - 1083 - ATL WINGS MESA,5,425,172,40.0,4.8,Fri May 08,4,scheduled day 1
15025,OREE - 15025 - OREGANO ELLIOT,4,630,158,25.0,5.2,Sat May 09,5,scheduled day 7
6101,FAT - 6101 - FATE BREWERY,4,700,395,56.0,5.2,Sat May 09,5,scheduled day 2
20094,TAI - 20094 - TAILGATERS WATSON,1,1050,340,32.0,5.3,Sat May 09,5,scheduled day 6
16051,POP - 16051 - POPOS MCDOWELL,1,2000,668,33.0,5.5,Sat May 09,5,scheduled day 0
2017,BOOW - 2017 - BOOTY'S WATSON,1,620,360,58.0,5.5,Sat May 09,5,scheduled day 6
20021,THE - 20021 - THE VIG VAL VISTA,5,1050,305,29.0,5.7,Sat May 09,5,scheduled day 8
1013,ARRM - 1013 - ARRIBAS GOODYEAR,1,900,437,49.0,5.7,Sat May 09,5,scheduled day 3
