node_index,Client ID,Customer Name,Zone,Zone Code,Street Address,City,State,Latitude,Longitude,Tank Size (lbs),Product
0,DEPOT,DEPOT,,,,,AZ,33.5152,-112.1674,,
1,C001,51ST - 0001 - 51ST AVE CAFE,2.0,2D,,,AZ,33.5171994,-112.1681115,350.0,FRYERS CHOICE
2,C002,AJO ALS 1018,2.0,2C,,,AZ,33.6390173,-112.2197838,950.0,CANOLA
3,C003,ALL - 1063 - ALL AMERICAN MODERN SPORTS GRILL,4.0,4C,,,AZ,33.674519,-111.8880329,900.0,CANOLA
4,C004,"AME - 1073 - AMELIO C ENTERPRISES, INC (CACTUS CANDY)",4.0,4C,,,AZ,33.4782767,-112.140515,2000.0,CANOLA
5,C005,ANG - 1054 - ANGRY CRAB SURPRISE,1.0,1C,,,AZ,33.6399393,-112.3041939,620.0,FRYERS CHOICE
6,C007,ARR79 - 1000 - ARRIBAS 79TH AVE.,2.0,2C,,,AZ,33.6402137,-112.2294109,950.0,CANOLA
7,C008,ARRC - 1001 - ARRIBAS CAMELBACK,3.0,3D,,,AZ,33.50958,-112.042591,700.0,CANOLA
8,C009,ARRC - 1011 - ARRIBAS CHANDLER,4.0,4F,,,AZ,33.3048264,-111.9816146,1000.0,CANOLA
9,C010,ARRC - 1014 - ARRIBA  GILBERT,5.0,5F,,,AZ,33.2980507,-111.744263,900.0,CANOLA
10,C011,ARRM - 1013 - ARRIBAS GOODYEAR,1.0,1D,,,AZ,33.46499,-112.389902,900.0,CANOLA
11,C012,ATL - 1081 - ATL WINGS ROOSEVELT,3.0,3D,,,AZ,33.4589406,-112.0685493,350.0,CANOLA
12,C013,ATL - 1083 - ATL WINGS MESA,5.0,5D,,,AZ,33.4151472,-111.6831813,425.0,CANOLA
13,C014,BAC - 19039 - BACKYARD GILBERT,5.0,5F,,,AZ,33.3062162,-111.7475515,1050.0,FRYERS CHOICE
14,C015,BAC - 2067 - BACKYARD - DESERT RIDGE,5.0,5F,,,AZ,33.6766428,-111.9746059,950.0,CANOLA
15,C016,BAJ - 2053 - BAJA JOES,5.0,5D,,,AZ,33.4507253,-111.7864322,1050.0,CANOLA
16,C017,BAR - 2045 - BARRIO BREWING,5.0,5F,,,AZ,33.3107427,-111.6698733,350.0,CANOLA
17,C018,BEL - 2038 - BELLE'S NASHVILLE KITCHEN,4.0,4D,,,AZ,33.4933908,-111.925632,620.0,CANOLA
18,C019,BOO - 2023 - BOOTY GOODYEAR,1.0,1D,,,AZ,33.463417,-112.3468017,620.0,CANOLA
19,C020,BOOW - 2017 - BOOTY'S WATSON,1.0,1D,,,AZ,33.4347806,-112.558596,620.0,CANOLA
20,C021,BOT - 2013 - BOTTLED BLONDE,4.0,4D,,,AZ,33.5016531,-111.9227254,500.0,CANOLA
21,C022,BRO - 2078 - BROTHER'S PIZZA INDIAN SCHOOL,3.0,3E,,,AZ,33.4953182,-112.2907004,350.0,CANOLA
22,C023,BRU - 2073 - BRUNCH SNOB,4.0,4D,,,AZ,33.2769448,-111.8747704,350.0,FRYERS CHOICE
23,C024,BUR - 4038 - BURGERS & BREWS GLENDALE,2.0,2C,,,AZ,33.5974556,-112.2020183,1050.0,CANOLA
24,C025,CAR - 3063 - CARDINAL STADIUM,2.0,2D,,,AZ,33.5262332,-112.2661138,2500.0,CANOLA
25,C026,CAS - 3069 - CASA DE FALAFEL,2.0,2C,,,AZ,33.6116326,-112.1654111,1000.0,CANOLA
26,C028,CRA - 3021 - JC FOOD TRADING/GLEN,2.0,2C,,,AZ,33.6397868,-112.1738598,450.0,CANOLA
27,C029,CRA - 3046 - JC FOOD TRADING /GOODYEAR,2.0,2C,,,AZ,33.4839957,-112.3651191,1000.0,CANOLA
28,C030,CRA - 3065 - CRAFTED CUISINE,4.0,4D,,,AZ,33.4830758,-111.9358104,350.0,CANOLA
